name,account_number,national_id,password
Hannah Miller,915827303312,GHA-650727099-8,1234P@ssword!
Iris Taylor,558192019969,GHA-166949959-4,StrongP@ssw0rd!
Julia Clark,673762269947,GHA-875836604-9,P@55word123
Kelly Green,143074359921,GHA-486581405-1,1qazXSW@2!
Laura White,514345482023,GHA-335421028-3,Pa$$w0rd!12345
Mia Martin,824293856878,GHA-556826886-6,SecurePa$$w0rd!
Nicole Thompson,655796782638,GHA-212084857-4,1Password!123
Olivia Williams,526550560645,GHA-144950834-7,MyP@ssword12
Paige Anderson ,167294465959,GHA-845912138-3,Abcdef!12345
Rachel Moore,829226528984,GHA-172176828-9,P@ssword!123
Sarah Lewis,802695485932,GHA-524569283-4,Qwerty!123456
Tara Hall,919502248710,GHA-295815929-2,StrongP@ssword!
Zoe Baker,997740138256,GHA-323989498-6,Pa$$w0rd12345
Amy Young,433601419033,GHA-468555571-9,1qazXSW@!
Brooke Allen,775899186318,GHA-511665945-8,SecurePa$$w0rd123
Chloe King,166613384955,GHA-628912310-6,Pa$$word!12345
Daisy Evans,453490443194,GHA-272339844-0,Qwerty!1234
Ella Scott,185694590309,GHA-822025033-6,P@ssw0rd!12345
Faith Wright,402310260264,GHA-460331254-8,MySecretP@ssword!
Gina Hill,629311526211,GHA-906664686-7,1q2w3e4r!123
Ivy Adams,747166665950,GHA-758804088-5,Pa$$w0rd1234
Jade Nelson,670825563338,GHA-518806479-5,Abcd123!456
Kayla Carter,377896472721,GHA-592178505-9,P@ssw0rd!12
Leah Mitchell,294684150537,GHA-792553111-2,MyP@ssword!12
Maya Collins,154360426682,GHA-168779340-9,1234qwer!123
Nora Roberts,499122868773,GHA-187658901-0,Qwerty!1234567
Ruby Walker,403331015680,GHA-444515897-0,P@$$w0rd!1234
Stella Phillips,373021581910,GHA-778141530-5,StrongP@ss!123
Tina Wood,148622184731,GHA-410611524-4,Pa$$word!1234
Wendy Cooper,928334609932,GHA-421203616-8,Abcdef!1234
Zoe Parker,788228322265,GHA-735043183-0,1234P@ssword!
Anna Edwards,803853906688,GHA-541585094-1,Qwerty!12345678
Bella Murphy,128458313664,GHA-914560055-0,P@55word!123
Claire Sanders,675077943375,GHA-694084023-3,1234P@ss!word
Daisy Morgan,667405598901,GHA-738933059-4,Qwerty!12345
Emma Rogers,717961071114,GHA-866155930-1,P@$$w0rd!12345
Grace Kelly,522755044207,GHA-511955315-6,1Qwerty!123
Isla Stewart,287781449844,GHA-756243901-7,Pa$$word!12345
Jessica Campbell,787641620735,GHA-616004860-0,Qwerty!123456789
Katie James,322829350613,GHA-901230323-3,P@$$w0rd!123456
Lily Watson,531426486368,GHA-256786939-5,MyP@ssword!1234
Mia Ward,635754333456,GHA-958603204-3,SecureP@ss!123
Olivia Cox,858605437725,GHA-557826314-7,P@ssw0rd!123456
Lazarus King,137366846618,GHA-662472534-5,1qaz2wsx!123
Emmanuel Frimpong,626482320971,GHA-770274610-7,P@ssw0rd!1234567
