detail,server_id,national_id,duration,timestamp
Deposit,87365268,GHA-747493105-9,247,2022-08-04 22:09:38.000000
Bill Payment,75373417,GHA-901230323-3,288,2022-08-13 19:07:47.000000
Foreign Exchange,75373417,GHA-778141530-5,203,2022-06-28 20:12:16.000000
Bill Payment,75373417,GHA-747787386-6,169,2022-06-21 18:10:25.000000
Deposit,75373417,GHA-166949959-4,285,2022-07-02 17:00:50.000000
Deposit,75373417,GHA-323989498-6,245,2022-06-22 23:40:06.000000
Withdrawal,75373417,GHA-850272845-2,300,2022-09-06 16:15:10.000000
Payment of Fees,75373417,GHA-758804088-5,215,2022-07-22 21:26:37.000000
Withdrawal,75373417,GHA-792553111-2,251,2022-08-21 23:08:44.000000
Bill Payment,55734681,GHA-293306692-9,179,2022-08-13 19:07:47.000000
Deposit,55734681,GHA-421203616-8,278,2022-09-04 19:14:44.000000
Deposit,75373417,GHA-421203616-8,191,2022-07-10 18:30:53.000000
Foreign Exchange,55734681,GHA-693327043-1,179,2022-08-31 18:22:21.000000
Foreign Exchange,88742759,GHA-505044271-8,168,2022-07-16 18:02:37.000000
Withdrawal,87365268,GHA-670083206-2,194,2022-06-14 23:42:20.000000
Withdrawal,55734681,GHA-778141530-5,71,2022-06-29 17:11:42.000000
Bill Payment,88742759,GHA-203028306-6,114,2022-07-14 16:05:23.000000
Payment of Fees,87365268,GHA-426101312-4,233,2022-07-25 21:40:45.000000
Payment of Fees,87365268,GHA-163601744-9,152,2022-07-12 20:27:16.000000
Payment of Fees,87365268,GHA-426101312-4,63,2022-08-19 16:17:35.000000
Foreign Exchange,88742759,GHA-187658901-0,156,2022-07-31 23:04:00.000000
Bill Payment,87365268,GHA-906664686-7,233,2022-07-06 23:15:02.000000
Payment of Fees,55734681,GHA-735043183-0,191,2022-08-02 17:32:36.000000
Payment of Fees,75373417,GHA-556826886-6,161,2022-06-12 21:56:46.000000
Bill Payment,87365268,GHA-987273578-0,75,2022-07-18 16:10:15.000000
Deposit,75373417,GHA-727032506-9,215,2022-08-23 23:45:28.000000
Bill Payment,55734681,GHA-468555571-9,67,2022-08-17 23:20:14.000000
Bill Payment,55734681,GHA-911141678-4,255,2022-06-20 23:40:06.000000
Bill Payment,88742759,GHA-168779340-9,191,2022-09-06 16:15:10.000000
Foreign Exchange,88742759,GHA-256786939-5,285,2022-09-12 18:17:03.000000
Deposit,75373417,GHA-323989498-6,252,2022-07-27 17:50:07.000000
Withdrawal,55734681,GHA-923745782-0,218,2022-07-06 23:15:02.000000
Withdrawal,55734681,GHA-662472534-5,169,2022-07-15 22:00:25.000000
Deposit,88742759,GHA-163214720-3,175,2022-09-16 22:01:02.000000
Withdrawal,88742759,GHA-958603204-3,142,2022-07-19 19:17:20.000000
Withdrawal,55734681,GHA-670083206-2,179,2022-06-10 18:44:05.000000
Deposit,55734681,GHA-692295445-8,69,2022-07-02 17:00:50.000000
Payment of Fees,88742759,GHA-144950834-7,66,2022-09-10 22:20:59.000000
Payment of Fees,55734681,GHA-295815929-2,175,2022-06-22 23:40:06.000000
Withdrawal,55734681,GHA-778875512-7,116,2022-09-04 19:14:44.000000
Payment of Fees,75373417,GHA-460331254-8,106,2022-06-10 18:44:05.000000
Deposit,87365268,GHA-911141678-4,282,2022-07-21 16:07:13.000000
Deposit,88742759,GHA-636316692-6,287,2022-08-04 22:09:38.000000
Withdrawal,88742759,GHA-727032506-9,182,2022-09-02 19:31:41.000000
Withdrawal,87365268,GHA-905745080-9,104,2022-08-19 16:17:35.000000
Foreign Exchange,88742759,GHA-168779340-9,106,2022-08-18 16:25:51.000000
Foreign Exchange,88742759,GHA-426101312-4,148,2022-06-13 17:22:42.000000
Payment of Fees,87365268,GHA-492881891-5,71,2022-08-31 18:22:21.000000
Payment of Fees,55734681,GHA-948153136-0,169,2022-08-02 17:32:36.000000
Foreign Exchange,87365268,GHA-293306692-9,226,2022-06-21 18:10:25.000000
Payment of Fees,88742759,GHA-747493105-9,243,2022-08-30 23:48:09.000000
Deposit,88742759,GHA-518806479-5,140,2022-08-23 23:45:28.000000
Foreign Exchange,87365268,GHA-738933059-4,169,2022-08-21 23:08:44.000000
Payment of Fees,88742759,GHA-662472534-5,283,2022-07-09 23:13:23.000000
Deposit,75373417,GHA-498444017-3,258,2022-06-25 23:21:02.000000
Foreign Exchange,55734681,GHA-778875512-7,198,2022-07-07 23:37:40.000000
Payment of Fees,87365268,GHA-269805204-8,287,2022-09-08 22:57:04.000000
Withdrawal,75373417,GHA-861768657-4,184,2022-09-04 19:14:44.000000
Foreign Exchange,88742759,GHA-486581405-1,141,2022-06-28 20:12:16.000000
Bill Payment,75373417,GHA-208015447-8,130,2022-08-27 19:01:55.000000
Deposit,87365268,GHA-778875512-7,191,2022-08-31 18:22:21.000000
Withdrawal,75373417,GHA-662472534-5,152,2022-07-30 21:16:48.000000
Payment of Fees,55734681,GHA-845912138-3,83,2022-09-07 21:28:47.000000
Foreign Exchange,87365268,GHA-505044271-8,169,2022-07-14 16:05:23.000000
Payment of Fees,55734681,GHA-163214720-3,148,2022-07-12 20:27:16.000000
Foreign Exchange,87365268,GHA-735043183-0,71,2022-07-27 17:50:07.000000
Foreign Exchange,87365268,GHA-135241866-0,73,2022-08-13 19:07:47.000000
